i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
229 1.17484 0 1.9548 0.0125 0.0003 0.5438 1.2309 0.0698 0.0219 0.0112
230 1.13636 0 1.9711 0.0151 0.0007 0.5435 1.2442 0.0676 0.0198 0.0114
231 1.10504 0 1.9363 0.0126 0.0005 0.5448 1.2119 0.0705 0.021 0.0113
232 1.14904 0 1.9923 0.0126 0.0004 0.5637 1.241 0.0746 0.0223 0.0113
233 1.13235 0 1.947 0.0126 0.0005 0.5427 1.2394 0.0611 0.019 0.0113
234 1.15656 0 1.9551 0.0129 0.0004 0.5426 1.2316 0.07 0.0216 0.0112
235 1.12745 0 1.9517 0.0126 0.0003 0.5433 1.2338 0.0674 0.0202 0.0112
236 1.1227 0 1.9592 0.0125 0.0003 0.5425 1.2351 0.0713 0.0215 0.0113
237 1.0997 0 1.953 0.0126 0.0004 0.5426 1.2294 0.0716 0.0219 0.0113
238 1.12759 0 1.9947 0.0223 0.0005 0.5683 1.2348 0.0665 0.021 0.0113
239 1.15843 0 1.9491 0.0126 0.0003 0.5446 1.2288 0.0667 0.0204 0.0113
240 1.16535 0 1.9622 0.0153 0.0004 0.551 1.2254 0.0679 0.0209 0.0113
241 1.13687 0 1.9589 0.0126 0.0004 0.5434 1.2317 0.0717 0.0221 0.0113
242 1.12423 0 1.9456 0.0126 0.0004 0.5424 1.2152 0.0751 0.0227 0.0113
243 1.14523 0 1.9445 0.0127 0.0004 0.5435 1.2281 0.0651 0.0205 0.0119
244 1.16055 0 1.9392 0.0125 0.0004 0.5421 1.2143 0.0705 0.0221 0.0112
245 1.13285 0 1.941 0.0125 0.0004 0.5433 1.2177 0.0687 0.0222 0.0113
246 1.16362 0 1.9548 0.0125 0.0004 0.5426 1.2296 0.0714 0.0216 0.0113
247 1.10821 0 1.9476 0.0126 0.0004 0.5433 1.2278 0.0665 0.0218 0.0115
248 1.12849 0 1.9565 0.0126 0.0004 0.5493 1.2275 0.0705 0.0213 0.0114
249 1.1639 0 1.9539 0.0126 0.0004 0.5431 1.2269 0.0728 0.022 0.0113
250 1.13121 0 2.2341 0.0126 0.0004 0.6904 1.3612 0.0666 0.019 0.0139
251 1.18331 0 1.9494 0.0126 0.0005 0.5425 1.2292 0.068 0.0214 0.0117
252 1.17557 0 1.9712 0.0125 0.0004 0.5492 1.2313 0.0761 0.0233 0.0113
253 1.16812 0 1.9447 0.0126 0.0004 0.5425 1.2291 0.0653 0.02 0.0115
254 1.1676 0 1.9874 0.0181 0.0008 0.5572 1.2319 0.0715 0.0226 0.0114
255 1.15463 0 1.961 0.0142 0.0006 0.5523 1.2347 0.0664 0.0199 0.0113
256 1.13153 0 1.9697 0.0151 0.0006 0.5433 1.2386 0.0738 0.022 0.0112
257 1.14923 0 1.9711 0.0146 0.0004 0.552 1.2364 0.0727 0.0207 0.0114
258 1.13601 0 1.9622 0.0126 0.0004 0.5624 1.2274 0.0658 0.0201 0.0114
259 1.12624 0 1.9562 0.0126 0.0003 0.5427 1.2419 0.0654 0.0196 0.0113
260 1.11188 0 1.9659 0.0126 0.0004 0.5477 1.2319 0.0749 0.0219 0.0113
261 1.12856 0 1.9303 0.0125 0.0006 0.5423 1.2112 0.067 0.0203 0.0113
262 1.15526 0 1.9618 0.0126 0.0004 0.5483 1.2279 0.0686 0.0202 0.0114
263 1.08518 0 1.977 0.0126 0.0003 0.5431 1.2536 0.071 0.0213 0.0113
264 1.15799 0 1.9572 0.0126 0.0004 0.5428 1.2329 0.0708 0.0217 0.0112
265 1.14794 0 1.9507 0.0126 0.0003 0.5438 1.2296 0.0665 0.0216 0.0113
266 1.13403 0 1.965 0.0126 0.0003 0.544 1.2328 0.074 0.0234 0.0113
267 1.14034 0 2.0561 0.0162 0.0008 0.5958 1.2565 0.0818 0.0219 0.0112
268 1.16926 0 1.9484 0.0127 0.0007 0.5435 1.2286 0.0671 0.0213 0.0115
269 1.15692 0 1.9882 0.0147 0.0004 0.5678 1.2348 0.0728 0.0221 0.0113
270 1.13125 0 1.9543 0.0127 0.0006 0.5424 1.2293 0.0728 0.0217 0.0112
271 1.10875 0 1.977 0.019 0.0004 0.5472 1.2393 0.07 0.0208 0.0113
272 1.15083 0 1.9979 0.015 0.0003 0.5704 1.2344 0.0785 0.0227 0.0113
273 1.17425 0 1.9997 0.0127 0.0008 0.5407 1.2611 0.0777 0.0231 0.0113
