i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
165 1.1199 0 0.801792 0.047104 0.03584 0.037888 0.039936 0.036864 0.032768 0.031744
166 1.09228 0 0.775168 0.047104 0.03584 0.036864 0.038912 0.03584 0.031744 0.032768
167 1.17687 0 0.790528 0.047104 0.03584 0.037888 0.037888 0.036864 0.032768 0.032768
168 1.11367 0 0.791552 0.047104 0.036864 0.038912 0.039936 0.036864 0.032768 0.032768
169 1.11598 0 0.809984 0.04608 0.03584 0.037888 0.038912 0.036864 0.032768 0.033792
170 1.07558 0 0.862208 0.047104 0.03584 0.037888 0.038912 0.036864 0.033792 0.090112
171 1.17536 0 0.8448 0.047104 0.03584 0.037888 0.038912 0.036864 0.032768 0.032768
172 1.15812 0 0.766976 0.045056 0.03584 0.037888 0.038912 0.036864 0.032768 0.032768
173 1.12257 0 0.7936 0.047104 0.03584 0.037888 0.039936 0.036864 0.032768 0.032768
174 1.16695 0 0.811008 0.047104 0.03584 0.036864 0.038912 0.036864 0.032768 0.032768
175 1.16034 0 0.820224 0.047104 0.036864 0.037888 0.038912 0.036864 0.032768 0.032768
176 1.14631 0 0.787456 0.047104 0.034816 0.037888 0.038912 0.036864 0.032768 0.032768
177 1.14702 0 0.785408 0.04608 0.03584 0.037888 0.038912 0.036864 0.031744 0.032768
178 1.06871 0 0.771072 0.04608 0.03584 0.037888 0.039936 0.036864 0.031744 0.033792
179 1.18814 0 0.789504 0.047104 0.038912 0.037888 0.039936 0.036864 0.032768 0.032768
180 1.1244 0 0.805888 0.04608 0.034816 0.037888 0.038912 0.033792 0.032768 0.033792
181 1.14167 0 0.86528 0.047104 0.03584 0.036864 0.039936 0.036864 0.032768 0.032768
182 1.11842 0 0.748544 0.04608 0.03584 0.037888 0.038912 0.036864 0.031744 0.033792
183 1.16042 0 0.779264 0.04608 0.03584 0.036864 0.039936 0.03584 0.032768 0.033792
184 1.15616 0 0.79872 0.047104 0.036864 0.037888 0.039936 0.036864 0.032768 0.032768
185 1.1955 0 0.789504 0.047104 0.038912 0.037888 0.039936 0.036864 0.031744 0.032768
