i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
110 1.17539 0 5.3428 0.008192 0.006144 0.005312 0.006144 0.006144 0.006144 0.004096
111 1.15232 0 5.3636 0.008192 0.006144 0.00592 0.006144 0.00512 0.006144 0.004992
112 1.16855 0 5.1313 0.008192 0.006304 0.006144 0.006144 0.006144 0.005312 0.003936
113 1.15012 0 6.0289 0.009056 0.007168 0.007168 0.006144 0.006144 0.006144 0.004096
114 1.1347 0 5.1991 0.008192 0.006144 0.006144 0.006176 0.006144 0.006048 0.005152
115 1.15957 0 5.4537 0.008192 0.006144 0.006144 0.006144 0.006144 0.006144 0.00432
116 1.10155 0 5.0542 0.008192 0.006144 0.006144 0.005344 0.005184 0.006112 0.00512
117 1.16512 0 5.061 0.008192 0.006144 0.006144 0.006144 0.006144 0.006144 0.004224
118 1.12153 0 4.8169 0.007424 0.006144 0.005376 0.006112 0.006144 0.006016 0.005984
119 1.12229 0 4.9207 0.008192 0.006144 0.006144 0.006144 0.00512 0.006048 0.005344
120 1.15749 0 4.703 0.008192 0.006144 0.00512 0.006144 0.005376 0.006112 0.004096
121 1.14055 0 4.8192 0.008992 0.006144 0.005152 0.00608 0.006144 0.006048 0.00416
122 1.19081 0 4.8717 0.008352 0.00512 0.00512 0.005312 0.005216 0.006144 0.004096
123 1.14936 0 4.6301 0.008192 0.006048 0.006144 0.006144 0.00512 0.00512 0.004096
124 1.11372 0 4.9387 0.008256 0.006144 0.00592 0.006112 0.006144 0.006144 0.004128
125 1.15688 0 4.6361 0.007392 0.006048 0.005184 0.006144 0.005184 0.006144 0.004096
126 1.13796 0 4.7176 0.008192 0.005376 0.00608 0.005408 0.006144 0.006144 0.004928
127 1.11596 0 4.661 0.008192 0.005344 0.005312 0.006144 0.006144 0.006144 0.006144
128 1.11851 0 4.9588 0.008128 0.006112 0.005248 0.006144 0.005248 0.004256 0.004096
129 1.11718 0 5.0886 0.00832 0.006144 0.006048 0.006144 0.006144 0.006144 0.004096
130 1.11749 0 11.5178 0.007168 0.007136 0.00512 0.006144 0.006144 0.006144 0.004032
131 1.14722 0 4.995 0.008192 0.006144 0.006048 0.006144 0.00496 0.006144 0.004096
132 1.13622 0 4.9315 0.009056 0.00608 0.006144 0.006144 0.006144 0.006144 0.004224
133 1.1365 0 5.5367 0.008288 0.005248 0.005216 0.006144 0.006144 0.006208 0.004096
134 1.14545 0 4.9965 0.008192 0.006144 0.006144 0.006144 0.006144 0.006112 0.004096
135 1.13346 0 5.1343 0.007392 0.006144 0.005152 0.006048 0.00512 0.006144 0.003968
136 1.12449 0 5.0357 0.006144 0.006016 0.005376 0.006112 0.005248 0.006144 0.004096
137 1.16204 0 4.8913 0.008192 0.006144 0.005152 0.006144 0.006144 0.006144 0.004864
138 1.11354 0 4.887 0.006976 0.006144 0.006144 0.006144 0.00528 0.006176 0.004096
139 1.19244 0 5.1225 0.008192 0.006144 0.006048 0.006048 0.005344 0.007168 0.004096
140 1.15751 0 5.0262 0.007168 0.006144 0.005312 0.006144 0.00512 0.006272 0.00496
141 1.13422 0 5.6523 0.008192 0.005344 0.00528 0.006144 0.005248 0.006048 0.004896
142 1.1205 0 5.4516 0.009216 0.006144 0.006144 0.006144 0.006144 0.006112 0.004096
143 1.18454 0 5.2265 0.007168 0.006144 0.005216 0.006144 0.006144 0.006144 0.004096
144 1.12163 0 4.9401 0.008192 0.006144 0.00624 0.006144 0.00512 0.006144 0.004096
145 1.14833 0 5.0174 0.008192 0.006016 0.006048 0.006016 0.00512 0.006144 0.00496
146 1.04346 0 5.5905 0.008224 0.006112 0.006048 0.006144 0.006144 0.006048 0.004096
147 1.1619 0 4.9481 0.009216 0.006144 0.00512 0.006048 0.006144 0.006144 0.006144
148 1.10905 0 5.7022 0.008192 0.006144 0.00608 0.006144 0.006144 0.006144 0.00512
149 1.12995 0 5.475 0.008192 0.006944 0.005344 0.006144 0.006144 0.006144 0.005024
150 1.12404 0 5.6032 0.008192 0.006144 0.005184 0.006144 0.005344 0.00608 0.004096
151 1.11762 0 4.5547 0.008192 0.006144 0.006144 0.006144 0.006144 0.006144 0.004896
152 1.15424 0 4.7483 0.007392 0.006144 0.00608 0.006144 0.006144 0.006144 0.006144
153 1.1595 0 5.1475 0.007168 0.006144 0.00512 0.006144 0.005376 0.006144 0.00496
154 1.13835 0 5.2737 0.008192 0.006144 0.00512 0.006144 0.006144 0.006144 0.005024
155 1.16896 0 5.4233 0.010112 0.006144 0.005248 0.005312 0.005216 0.006144 0.005024
156 1.17792 0 5.2266 0.008448 0.00608 0.005184 0.007168 0.006144 0.006144 0.004096
157 1.14201 0 4.78 0.008192 0.00512 0.005248 0.006112 0.005312 0.006144 0.004096
158 1.14795 0 5.3828 0.008384 0.006176 0.00512 0.006144 0.006144 0.005376 0.00432
159 1.16164 0 4.7778 0.008192 0.006144 0.005184 0.006048 0.006144 0.006144 0.004096
160 1.15064 0 5.2959 0.008192 0.006144 0.006144 0.005312 0.00512 0.006048 0.004224
161 1.11772 0 4.8415 0.008192 0.006144 0.006144 0.006144 0.006144 0.005408 0.004096
162 1.12954 0 5.0944 0.007072 0.006144 0.005152 0.006368 0.004256 0.006048 0.004832
163 1.18589 0 5.05 0.008992 0.006144 0.006144 0.006144 0.00512 0.006144 0.004032
164 1.13893 0 5.0763 0.007168 0.00608 0.00512 0.005344 0.006144 0.00528 0.004096
